city_norm,edc_type,edc_first_report_year
CANEY CITY,B,2011
CANTON,B,1997
CANYON,B,2005
CARMINE,B,2007
CARTHAGE,A&B,1997
CEDAR HILL,A&B,1997
CEDAR PARK,A&B,2000
CELESTE,B,1997
CELINA,A&B,1997
CENTER,A&B,1997
CENTERVILLE,B,1998
CHANDLER,B,1998
CHICO,B,2003
CHILDRESS,A,1997
CIBOLO,B,2007
CISCO,A&B,1997
CITY OF CENTER,A&B,2023
CITY OF COLLINSVILLE,A,2023
CITY OF PHARR TEXAS,B,2023
CITY OF SILSBEE,A,2022
CLARENDON,B,1997
CLARKSVILLE,A&B,1997
CLAUDE,B,2014
CLEAR LAKE SHORES,B,1997
CLEBURNE,A&B,2003
CLEVELAND,A&B,2000
CLIFTON,B,1999
CLUTE,B,2002
CLYDE,B,1997
COAHOMA,B,2011
COFFEE CITY,B,2011
COLEMAN,A&B,1997
COLLEGE STATION,B,2000
COLLEYVILLE,B,1997
COLLINSVILLE,A&B,2000
COLORADO CITY,B,2020
COLUMBUS,B,1997
COMANCHE,A,1997
COMBES,B,2016
COMMERCE,A,1997
CONROE,B,1997
CONVERSE,B,2001
COPPELL,B,1997
COPPERAS COVE,A,1997
CORINTH,B,2003
CORPUS CHRISTI,A&B,2001
COTULLA,B,1997
COUNTY 5,A,2021
CRANDALL,B,1997
CRAWFORD,B,2004
CROCKETT,A,1997
CROSS PLAINS,B,1997
CROWELL,A,1997
CROWLEY,B,2003
CRYSTAL CITY,A&B,2001
CUERO,B,1997
CUNEY,A&B,1997
DALHART,A&B,1997
DALLAS,B,2003
DALWORTHINGTON GARDENS,B,1998
DAYTON,B,1997
DE KALB,A&B,1998
DE LEON,A&B,2004
DE SOTO,A,2001
DECATUR,A,1997
DEER PARK,B,2016
DEL RIO,A&B,2017
DENISON,A,1997
DENVER CITY,A,2002
DESOTO,A&B,1997
DETROIT,B,2022
DICKENS,B,2004
DICKINSON,B,1999
DIMMITT,B,2020
DOMINO,B,2011
DONNA,A&B,1997
DOUGLASSVILLE,B,2003
DRIPPING SPRINGS,A,2002
DRISCOLL,B,1997
DUBLIN,B,1998
DUMAS,B,1998
DUNCANVILLE,B,1997
EARLY,A,1997
EAST TAWAKONI,B,1997
EASTLAND,A,1997
EDCOUCH,A&B,1997
EDEN,B,1997
EDGEWOOD,A,2000
EDINBURG,A,1997
EL CAMPO,A,1997
ELECTRA,B,1999
ELGIN,B,1998
ELMENDORF,B,2017
ELSA,A&B,1997
EMORY,B,1997
ENCINAL,B,1997
ENNIS,B,1997
ESCOBARES,A,2007
EULESS,B,1997
EVERMAN,B,2000
FAIRFIELD,A,1997
FAIRVIEW,A&B,2005
FARMERSVILLE,A&B,1997
FARWELL,B,2023
FATE,B,2003
FAYETTEVILLE,B,2015
FERRIS,A&B,2006
"FLATONIA, TEXAS",B,2023
FLORESVILLE,A&B,1997
FLOWER MOUND,B,2008
FLOYDADA,B,2001
FOREST HILL,B,1997
FORNEY,B,1997
FORT DAVIS,B,2016
FORT STOCKTON,A&B,1997
FORT WORTH,B,1997
FRANKLIN,A&B,1997
FRANKSTON,B,1997
FREEPORT,B,2000
FRIENDSWOOD,B,2017
FRIONA,B,1997
FRISCO,A&B,1997
FRITCH,B,2003
FULSHEAR,A&B,2008
GAINESVILLE,B,1997
GALVESTON,B,1997
GANADO,B,2007
GEORGETOWN,A&B,1997
GIDDINGS,B,1997
GILMER,A,1997
GLADEWATER,A,1997
GLEN ROSE,B,2008
GODLEY,A&B,2002
GOLDTHWAITE,B,1997
GOLIAD,B,1997
GONZALES,B,1998
GORDON,B,1997
GOREE,A&B,2009
GORMAN,A&B,1999
GRAHAM,A&B,1997
GRAND PRAIRIE,B,1997
GRAND SALINE,B,1997
GRANDFALLS,A&B,1998
GRANDVIEW,A&B,2001
GRAPELAND,A&B,2006
GRAPEVINE,B,2007
GREENVILLE,A,2003
GREGORY,B,2001
GROESBECK,B,1998
GROOM,B,1997
GROVES,B,1998
GROVETON,A&B,2000
GRUVER,B,1997
GUN BARREL CITY,B,1998
GUNTER,B,1998
GUSTINE,B,2001
HALE CENTER,A,1998
HALLETTSVILLE,A&B,1998
HALTOM CITY,B,1997
HAMILTON,B,1997
HAMLIN,A,1997
HARLINGEN,A&B,1997
HART,B,2008
